"REF_DATE","GEO","VALUE"
"1960-07","Northwest Territories including Nunavut","22000"
"1960-10","Canada","18009000"
"1960-10","Newfoundland and Labrador","452000"
"1960-10","Prince Edward Island","104000"
"1960-10","Nova Scotia","731000"
"1960-10","New Brunswick","591000"
"1960-10","Quebec","5187000"
"1960-10","Ontario","6158000"
"1960-10","Manitoba","911000"
"1960-10","Saskatchewan","918000"
"1960-10","Alberta","1307000"
"1960-10","British Columbia","1614000"
"1960-10","Yukon","14000"
"1960-10","Northwest Territories including Nunavut","22000"
"1961-01","Canada","18092000"
"1961-01","Newfoundland and Labrador","454000"
"1961-01","Prince Edward Island","104000"
"1961-01","Nova Scotia","732000"
"1961-01","New Brunswick","593000"
"1961-01","Quebec","5212000"
"1961-01","Ontario","6187000"
"1961-01","Manitoba","916000"
"1961-01","Saskatchewan","919000"
"1961-01","Alberta","1317000"
"1961-01","British Columbia","1621000"
"1961-01","Yukon","14000"
"1961-01","Northwest Territories including Nunavut","23000"
"1961-04","Canada","18172000"
"1961-04","Newfoundland and Labrador","456000"
"1961-04","Prince Edward Island","104000"
"1961-04","Nova Scotia","735000"
"1961-04","New Brunswick","596000"
"1961-04","Quebec","5238000"
"1961-04","Ontario","6214000"
"1961-04","Manitoba","919000"
"1961-04","Saskatchewan","922000"
"1961-04","Alberta","1325000"
"1961-04","British Columbia","1626000"
"1961-04","Yukon","14000"
"1961-04","Northwest Territories including Nunavut","23000"
"1961-07","Canada","18271000"
"1961-07","Newfoundland and Labrador","459000"
"1961-07","Prince Edward Island","105000"
"1961-07","Nova Scotia","738000"
"1961-07","New Brunswick","599000"
"1961-07","Quebec","5268000"
"1961-07","Ontario","6248000"
"1961-07","Manitoba","923000"
"1961-07","Saskatchewan","926000"
"1961-07","Alberta","1335000"
"1961-07","British Columbia","1632000"
"1961-07","Yukon","15000"
"1961-07","Northwest Territories including Nunavut","23000"
"1961-10","Canada","18363000"
"1961-10","Newfoundland and Labrador","462000"
"1961-10","Prince Edward Island","106000"
"1961-10","Nova Scotia","740000"
"1961-10","New Brunswick","600000"
"1961-10","Quebec","5300000"
"1961-10","Ontario","6275000"
"1961-10","Manitoba","927000"
"1961-10","Saskatchewan","929000"
"1961-10","Alberta","1345000"
"1961-10","British Columbia","1640000"
"1961-10","Yukon","15000"
"1961-10","Northwest Territories including Nunavut","24000"
"1962-01","Canada","18442000"
"1962-01","Newfoundland and Labrador","464000"
"1962-01","Prince Edward Island","107000"
"1962-01","Nova Scotia","742000"
"1962-01","New Brunswick","602000"
"1962-01","Quebec","5324000"
"1962-01","Ontario","6303000"
"1962-01","Manitoba","930000"
"1962-01","Saskatchewan","927000"
"1962-01","Alberta","1356000"
"1962-01","British Columbia","1648000"
"1962-01","Yukon","15000"
"1962-01","Northwest Territories including Nunavut","24000"
"1962-04","Canada","18519000"
"1962-04","Newfoundland and Labrador","466000"
"1962-04","Prince Edward Island","107000"
"1962-04","Nova Scotia","744000"
"1962-04","New Brunswick","604000"
"1962-04","Quebec","5350000"
"1962-04","Ontario","6330000"
"1962-04","Manitoba","933000"
"1962-04","Saskatchewan","928000"
"1962-04","Alberta","1363000"
"1962-04","British Columbia","1655000"
"1962-04","Yukon","15000"
"1962-04","Northwest Territories including Nunavut","24000"
"1962-07","Canada","18614000"
"1962-07","Newfoundland and Labrador","469000"
"1962-07","Prince Edward Island","107000"
"1962-07","Nova Scotia","746000"
"1962-07","New Brunswick","605000"
"1962-07","Quebec","5381000"
"1962-07","Ontario","6362000"
"1962-07","Manitoba","937000"
"1962-07","Saskatchewan","931000"
"1962-07","Alberta","1373000"
"1962-07","British Columbia","1663000"
"1962-07","Yukon","15000"
"1962-07","Northwest Territories including Nunavut","25000"
"1962-10","Canada","18708000"
"1962-10","Newfoundland and Labrador","471000"
"1962-10","Prince Edward Island","107000"
"1962-10","Nova Scotia","748000"
"1962-10","New Brunswick","607000"
"1962-10","Quebec","5413000"
"1962-10","Ontario","6395000"
"1962-10","Manitoba","940000"
"1962-10","Saskatchewan","931000"
"1962-10","Alberta","1382000"
"1962-10","British Columbia","1674000"
"1962-10","Yukon","15000"
"1962-10","Northwest Territories including Nunavut","25000"
"1963-01","Canada","18787000"
"1963-01","Newfoundland and Labrador","473000"
"1963-01","Prince Edward Island","107000"
"1963-01","Nova Scotia","747000"
"1963-01","New Brunswick","607000"
"1963-01","Quebec","5437000"
"1963-01","Ontario","6427000"
"1963-01","Manitoba","944000"
"1963-01","Saskatchewan","928000"
"1963-01","Alberta","1391000"
"1963-01","British Columbia","1686000"
"1963-01","Yukon","15000"
"1963-01","Northwest Territories including Nunavut","25000"
"1963-04","Canada","18864000"
"1963-04","Newfoundland and Labrador","474000"
"1963-04","Prince Edward Island","108000"
"1963-04","Nova Scotia","749000"
"1963-04","New Brunswick","608000"
"1963-04","Quebec","5461000"
"1963-04","Ontario","6455000"
"1963-04","Manitoba","947000"
"1963-04","Saskatchewan","930000"
"1963-04","Alberta","1398000"
"1963-04","British Columbia","1694000"
"1963-04","Yukon","15000"
"1963-04","Northwest Territories including Nunavut","25000"
"1963-07","Canada","18964000"
"1963-07","Newfoundland and Labrador","477000"
"1963-07","Prince Edward Island","108000"
"1963-07","Nova Scotia","751000"
"1963-07","New Brunswick","609000"
"1963-07","Quebec","5489000"
"1963-07","Ontario","6497000"
"1963-07","Manitoba","950000"
"1963-07","Saskatchewan","933000"
"1963-07","Alberta","1407000"
"1963-07","British Columbia","1702000"
"1963-07","Yukon","15000"
"1963-07","Northwest Territories including Nunavut","26000"
"1963-10","Canada","19061000"
"1963-10","Newfoundland and Labrador","479000"
"1963-10","Prince Edward Island","109000"
"1963-10","Nova Scotia","752000"
"1963-10","New Brunswick","609000"
"1963-10","Quebec","5518000"
"1963-10","Ontario","6535000"
"1963-10","Manitoba","953000"
"1963-10","Saskatchewan","935000"
"1963-10","Alberta","1414000"
"1963-10","British Columbia","1716000"
"1963-10","Yukon","15000"
"1963-10","Northwest Territories including Nunavut","26000"
"1964-01","Canada","19142000"
"1964-01","Newfoundland and Labrador","480000"
"1964-01","Prince Edward Island","109000"
"1964-01","Nova Scotia","752000"
"1964-01","New Brunswick","609000"
"1964-01","Quebec","5541000"
"1964-01","Ontario","6572000"
"1964-01","Manitoba","955000"
"1964-01","Saskatchewan","936000"
"1964-01","Alberta","1419000"
"1964-01","British Columbia","1728000"
"1964-01","Yukon","15000"
"1964-01","Northwest Territories including Nunavut","26000"
"1964-04","Canada","19222000"
"1964-04","Newfoundland and Labrador","482000"
"1964-04","Prince Edward Island","109000"
"1964-04","Nova Scotia","753000"
"1964-04","New Brunswick","610000"
"1964-04","Quebec","5566000"
"1964-04","Ontario","6602000"
"1964-04","Manitoba","957000"
"1964-04","Saskatchewan","939000"
"1964-04","Alberta","1425000"
"1964-04","British Columbia","1737000"
"1964-04","Yukon","15000"
"1964-04","Northwest Territories including Nunavut","27000"
"1964-07","Canada","19325000"
"1964-07","Newfoundland and Labrador","484000"
"1964-07","Prince Edward Island","109000"
"1964-07","Nova Scotia","755000"
"1964-07","New Brunswick","612000"
"1964-07","Quebec","5593000"
"1964-07","Ontario","6646000"
"1964-07","Manitoba","960000"
"1964-07","Saskatchewan","943000"
"1964-07","Alberta","1431000"
"1964-07","British Columbia","1750000"
"1964-07","Yukon","15000"
"1964-07","Northwest Territories including Nunavut","27000"
"1964-10","Canada","19420000"
"1964-10","Newfoundland and Labrador","485000"
"1964-10","Prince Edward Island","109000"
"1964-10","Nova Scotia","756000"
"1964-10","New Brunswick","612000"
"1964-10","Quebec","5621000"
"1964-10","Ontario","6687000"
"1964-10","Manitoba","961000"
"1964-10","Saskatchewan","946000"
"1964-10","Alberta","1436000"
"1964-10","British Columbia","1765000"
"1964-10","Yukon","15000"
"1964-10","Northwest Territories including Nunavut","27000"
"1965-01","Canada","19501000"
"1965-01","Newfoundland and Labrador","485000"
"1965-01","Prince Edward Island","109000"
"1965-01","Nova Scotia","755000"
"1965-01","New Brunswick","613000"
"1965-01","Quebec","5644000"
