"REF_DATE","GEO","DGUID","Standard Classification of Goods (SCG)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1959-05","Canada","","Sulphuric acid, all grades, including oleum, as 100%","Tonnes","288","units ","0","v39273","1.2","133219","","","","0"
"1959-05","Canada","","Ammonia, anhydrous, 100%","Tonnes","288","units ","0","v39284","1.3","29898","","","","0"
"1959-05","Canada","","Ammonium sulphate","Tonnes","288","units ","0","v39291","1.33","28851","","","t","0"
"1959-05","Canada","","Chlorine","Tonnes","288","units ","0","v39233","1.7","21390","","","","0"
"1959-05","Canada","","Fertilizers, mixed","Tonnes","288","units ","0","v39248","1.34","81568","","","t","0"
"1959-05","Canada","","Formaldehyde, 100% solids basis","Tonnes","288","units ","0","v39251","1.9","2246","","","","0"
"1959-05","Canada","","Oxygen, gas and liquid in cylinders or by delivery","Tonnes","288","thousands","3","v39261","1.35","2980","","","t","0"
"1959-05","Canada","","Sodium hydroxide (caustic soda), as 100% NaOH","Tonnes","288","units ","0","v39263","1.11","25104","","","","0"
"1959-06","Canada","","Acetylene in cylinders or for delivery by pipeline","Tonnes","288","thousands","3","v39232","1.31","434","","","t","0"
"1959-06","Canada","","Hydrochloric (muriatic) acid, 100%","Tonnes","288","units ","0","v39269","1.1","1656","","","","0"
"1959-06","Canada","","Sulphuric acid, all grades, including oleum, as 100%","Tonnes","288","units ","0","v39273","1.2","118066","","","","0"
"1959-06","Canada","","Ammonia, anhydrous, 100%","Tonnes","288","units ","0","v39284","1.3","24978","","","","0"
"1959-06","Canada","","Ammonium sulphate","Tonnes","288","units ","0","v39291","1.33","28028","","","t","0"
"1959-06","Canada","","Chlorine","Tonnes","288","units ","0","v39233","1.7","21705","","","","0"
"1959-06","Canada","","Fertilizers, mixed","Tonnes","288","units ","0","v39248","1.34","28889","","","t","0"
"1959-06","Canada","","Formaldehyde, 100% solids basis","Tonnes","288","units ","0","v39251","1.9","2502","","","","0"
"1959-06","Canada","","Oxygen, gas and liquid in cylinders or by delivery","Tonnes","288","thousands","3","v39261","1.35","3429","","","t","0"
"1959-06","Canada","","Sodium hydroxide (caustic soda), as 100% NaOH","Tonnes","288","units ","0","v39263","1.11","24999","","","","0"
"1959-07","Canada","","Acetylene in cylinders or for delivery by pipeline","Tonnes","288","thousands","3","v39232","1.31","407","","","t","0"
"1959-07","Canada","","Hydrochloric (muriatic) acid, 100%","Tonnes","288","units ","0","v39269","1.1","1444","","","","0"
"1959-07","Canada","","Sulphuric acid, all grades, including oleum, as 100%","Tonnes","288","units ","0","v39273","1.2","115489","","","","0"
"1959-07","Canada","","Ammonia, anhydrous, 100%","Tonnes","288","units ","0","v39284","1.3","23059","","","","0"
"1959-07","Canada","","Ammonium sulphate","Tonnes","288","units ","0","v39291","1.33","17072","","","t","0"
"1959-07","Canada","","Chlorine","Tonnes","288","units ","0","v39233","1.7","21842","","","","0"
"1959-07","Canada","","Fertilizers, mixed","Tonnes","288","units ","0","v39248","1.34","7515","","","t","0"
"1959-07","Canada","","Formaldehyde, 100% solids basis","Tonnes","288","units ","0","v39251","1.9","1801","","","","0"
"1959-07","Canada","","Oxygen, gas and liquid in cylinders or by delivery","Tonnes","288","thousands","3","v39261","1.35","2952","","","t","0"
"1959-07","Canada","","Sodium hydroxide (caustic soda), as 100% NaOH","Tonnes","288","units ","0","v39263","1.11","24597","","","","0"
"1959-08","Canada","","Acetylene in cylinders or for delivery by pipeline","Tonnes","288","thousands","3","v39232","1.31","384","","","t","0"
"1959-08","Canada","","Hydrochloric (muriatic) acid, 100%","Tonnes","288","units ","0","v39269","1.1","1634","","","","0"
"1959-08","Canada","","Sulphuric acid, all grades, including oleum, as 100%","Tonnes","288","units ","0","v39273","1.2","119564","","","","0"
"1959-08","Canada","","Ammonia, anhydrous, 100%","Tonnes","288","units ","0","v39284","1.3","29464","","","","0"
"1959-08","Canada","","Ammonium sulphate","Tonnes","288","units ","0","v39291","1.33","23765","","","t","0"
"1959-08","Canada","","Chlorine","Tonnes","288","units ","0","v39233","1.7","20050","","","","0"
"1959-08","Canada","","Fertilizers, mixed","Tonnes","288","units ","0","v39248","1.34","26616","","","t","0"
"1959-08","Canada","","Formaldehyde, 100% solids basis","Tonnes","288","units ","0","v39251","1.9","2052","","","","0"
"1959-08","Canada","","Oxygen, gas and liquid in cylinders or by delivery","Tonnes","288","thousands","3","v39261","1.35","3026","","","t","0"
"1959-08","Canada","","Sodium hydroxide (caustic soda), as 100% NaOH","Tonnes","288","units ","0","v39263","1.11","23661","","","","0"
"1959-09","Canada","","Acetylene in cylinders or for delivery by pipeline","Tonnes","288","thousands","3","v39232","1.31","446","","","t","0"
"1959-09","Canada","","Hydrochloric (muriatic) acid, 100%","Tonnes","288","units ","0","v39269","1.1","1567","","","","0"
"1959-09","Canada","","Sulphuric acid, all grades, including oleum, as 100%","Tonnes","288","units ","0","v39273","1.2","112869","","","","0"
"1959-09","Canada","","Ammonia, anhydrous, 100%","Tonnes","288","units ","0","v39284","1.3","30805","","","","0"
"1959-09","Canada","","Ammonium sulphate","Tonnes","288","units ","0","v39291","1.33","23161","","","t","0"
"1959-09","Canada","","Chlorine","Tonnes","288","units ","0","v39233","1.7","21377","","","","0"
"1959-09","Canada","","Fertilizers, mixed","Tonnes","288","units ","0","v39248","1.34","47223","","","t","0"
"1959-09","Canada","","Formaldehyde, 100% solids basis","Tonnes","288","units ","0","v39251","1.9","2423","","","","0"
"1959-09","Canada","","Oxygen, gas and liquid in cylinders or by delivery","Tonnes","288","thousands","3","v39261","1.35","3102","","","t","0"
"1959-09","Canada","","Sodium hydroxide (caustic soda), as 100% NaOH","Tonnes","288","units ","0","v39263","1.11","25168","","","","0"
"1959-10","Canada","","Acetylene in cylinders or for delivery by pipeline","Tonnes","288","thousands","3","v39232","1.31","490","","","t","0"
"1959-10","Canada","","Hydrochloric (muriatic) acid, 100%","Tonnes","288","units ","0","v39269","1.1","1730","","","","0"
"1959-10","Canada","","Sulphuric acid, all grades, including oleum, as 100%","Tonnes","288","units ","0","v39273","1.2","126042","","","","0"
"1959-10","Canada","","Ammonia, anhydrous, 100%","Tonnes","288","units ","0","v39284","1.3","29472","","","","0"
"1959-10","Canada","","Ammonium sulphate","Tonnes","288","units ","0","v39291","1.33","25755","","","t","0"
"1959-10","Canada","","Chlorine","Tonnes","288","units ","0","v39233","1.7","23495","","","","0"
"1959-10","Canada","","Fertilizers, mixed","Tonnes","288","units ","0","v39248","1.34","63499","","","t","0"
"1959-10","Canada","","Formaldehyde, 100% solids basis","Tonnes","288","units ","0","v39251","1.9","2103","","","","0"
