"Date","Good","Scale","Value"
"1960-08","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","2384"
"1960-09","Acetylene in cylinders or for delivery by pipeline","thousands","438"
"1960-09","Hydrochloric (muriatic) acid, 100%","units ","1657"
"1960-09","Sulphuric acid, all grades, including oleum, as 100%","units ","117274"
"1960-09","Ammonia, anhydrous, 100%","units ","35309"
"1960-09","Ammonium sulphate","units ","24636"
"1960-09","Chlorine","units ","23150"
"1960-09","Fertilizers, mixed","units ","57772"
"1960-09","Formaldehyde, 100% solids basis","units ","2474"
"1960-09","Oxygen, gas and liquid in cylinders or by delivery","thousands","3865"
"1960-09","Sodium hydroxide (caustic soda), as 100% NaOH","units ","27059"
"1960-09","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","1772"
"1960-10","Acetylene in cylinders or for delivery by pipeline","thousands","448"
"1960-10","Hydrochloric (muriatic) acid, 100%","units ","1951"
"1960-10","Sulphuric acid, all grades, including oleum, as 100%","units ","121727"
"1960-10","Ammonia, anhydrous, 100%","units ","38417"
"1960-10","Ammonium sulphate","units ","22648"
"1960-10","Chlorine","units ","26505"
"1960-10","Fertilizers, mixed","units ","68075"
"1960-10","Formaldehyde, 100% solids basis","units ","2244"
"1960-10","Oxygen, gas and liquid in cylinders or by delivery","thousands","3843"
"1960-10","Sodium hydroxide (caustic soda), as 100% NaOH","units ","31190"
"1960-10","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","1857"
"1960-11","Acetylene in cylinders or for delivery by pipeline","thousands","473"
"1960-11","Hydrochloric (muriatic) acid, 100%","units ","1818"
"1960-11","Sulphuric acid, all grades, including oleum, as 100%","units ","122775"
"1960-11","Ammonia, anhydrous, 100%","units ","29992"
"1960-11","Ammonium sulphate","units ","11298"
"1960-11","Chlorine","units ","27252"
"1960-11","Fertilizers, mixed","units ","69818"
"1960-11","Formaldehyde, 100% solids basis","units ","1753"
"1960-11","Oxygen, gas and liquid in cylinders or by delivery","thousands","4469"
"1960-11","Sodium hydroxide (caustic soda), as 100% NaOH","units ","31810"
"1960-11","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","2258"
"1960-12","Acetylene in cylinders or for delivery by pipeline","thousands","428"
"1960-12","Hydrochloric (muriatic) acid, 100%","units ","1740"
"1960-12","Sulphuric acid, all grades, including oleum, as 100%","units ","101245"
"1960-12","Ammonia, anhydrous, 100%","units ","42297"
"1960-12","Ammonium sulphate","units ","23486"
"1960-12","Chlorine","units ","23786"
"1960-12","Fertilizers, mixed","units ","61590"
"1960-12","Formaldehyde, 100% solids basis","units ","2274"
"1960-12","Oxygen, gas and liquid in cylinders or by delivery","thousands","4267"
"1960-12","Sodium hydroxide (caustic soda), as 100% NaOH","units ","28887"
"1960-12","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","1649"
"1961-01","Acetylene in cylinders or for delivery by pipeline","thousands","442"
"1961-01","Hydrochloric (muriatic) acid, 100%","units ","947"
"1961-01","Sulphuric acid, all grades, including oleum, as 100%","units ","130983"
"1961-01","Ammonia, anhydrous, 100%","units ","39061"
"1961-01","Ammonium sulphate","units ","23348"
"1961-01","Chlorine","units ","24534"
"1961-01","Fertilizers, mixed","units ","81872"
"1961-01","Formaldehyde, 100% solids basis","units ","2123"
"1961-01","Oxygen, gas and liquid in cylinders or by delivery","thousands","4800"
"1961-01","Sodium hydroxide (caustic soda), as 100% NaOH","units ","28050"
"1961-01","Polyethylene, total","units ","0"
"1961-01","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","2440"
"1961-01","Polyvinyl chloride","units ",
"1961-02","Acetylene in cylinders or for delivery by pipeline","thousands","405"
"1961-02","Hydrochloric (muriatic) acid, 100%","units ","1594"
"1961-02","Sulphuric acid, all grades, including oleum, as 100%","units ","119457"
"1961-02","Ammonia, anhydrous, 100%","units ","37567"
"1961-02","Ammonium sulphate","units ","21278"
"1961-02","Chlorine","units ","24272"
"1961-02","Fertilizers, mixed","units ","83103"
"1961-02","Formaldehyde, 100% solids basis","units ","2240"
"1961-02","Oxygen, gas and liquid in cylinders or by delivery","thousands","4411"
"1961-02","Sodium hydroxide (caustic soda), as 100% NaOH","units ","28768"
"1961-02","Polyethylene, total","units ","0"
"1961-02","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","2159"
"1961-02","Polyvinyl chloride","units ",
"1961-03","Acetylene in cylinders or for delivery by pipeline","thousands","429"
"1961-03","Hydrochloric (muriatic) acid, 100%","units ","1742"
"1961-03","Sulphuric acid, all grades, including oleum, as 100%","units ","134848"
"1961-03","Ammonia, anhydrous, 100%","units ","42252"
"1961-03","Ammonium sulphate","units ","24638"
"1961-03","Chlorine","units ","26838"
"1961-03","Fertilizers, mixed","units ","94067"
"1961-03","Formaldehyde, 100% solids basis","units ","2649"
"1961-03","Oxygen, gas and liquid in cylinders or by delivery","thousands","4726"
"1961-03","Sodium hydroxide (caustic soda), as 100% NaOH","units ","32029"
"1961-03","Polyethylene, total","units ","0"
"1961-03","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","1892"
"1961-03","Polyvinyl chloride","units ",
"1961-04","Acetylene in cylinders or for delivery by pipeline","thousands","407"
"1961-04","Hydrochloric (muriatic) acid, 100%","units ","1321"
"1961-04","Sulphuric acid, all grades, including oleum, as 100%","units ","120265"
"1961-04","Ammonia, anhydrous, 100%","units ","38178"
"1961-04","Ammonium sulphate","units ","24460"
"1961-04","Chlorine","units ","25678"
"1961-04","Fertilizers, mixed","units ","82136"
"1961-04","Formaldehyde, 100% solids basis","units ","2094"
"1961-04","Oxygen, gas and liquid in cylinders or by delivery","thousands","4593"
"1961-04","Sodium hydroxide (caustic soda), as 100% NaOH","units ","29483"
"1961-04","Polyethylene, total","units ","0"
"1961-04","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","1886"
"1961-04","Polyvinyl chloride","units ",
"1961-05","Acetylene in cylinders or for delivery by pipeline","thousands","459"
"1961-05","Hydrochloric (muriatic) acid, 100%","units ","1457"
"1961-05","Sulphuric acid, all grades, including oleum, as 100%","units ","121547"
"1961-05","Ammonia, anhydrous, 100%","units ","41586"
"1961-05","Ammonium sulphate","units ","25101"
"1961-05","Chlorine","units ","27449"
"1961-05","Fertilizers, mixed","units ","78222"
"1961-05","Formaldehyde, 100% solids basis","units ","3178"
"1961-05","Oxygen, gas and liquid in cylinders or by delivery","thousands","4827"
"1961-05","Sodium hydroxide (caustic soda), as 100% NaOH","units ","31878"
"1961-05","Polyethylene, total","units ","0"
"1961-05","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","2243"
"1961-05","Polyvinyl chloride","units ",
"1961-06","Acetylene in cylinders or for delivery by pipeline","thousands","440"
"1961-06","Hydrochloric (muriatic) acid, 100%","units ","1096"
"1961-06","Sulphuric acid, all grades, including oleum, as 100%","units ","121773"
"1961-06","Ammonia, anhydrous, 100%","units ","37107"
"1961-06","Ammonium sulphate","units ","22896"
"1961-06","Chlorine","units ","26536"
"1961-06","Fertilizers, mixed","units ","38148"
"1961-06","Formaldehyde, 100% solids basis","units ","2887"
"1961-06","Oxygen, gas and liquid in cylinders or by delivery","thousands","4765"
"1961-06","Sodium hydroxide (caustic soda), as 100% NaOH","units ","31272"
"1961-06","Polyethylene, total","units ","0"
"1961-06","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","1680"
"1961-06","Polyvinyl chloride","units ",
"1961-07","Acetylene in cylinders or for delivery by pipeline","thousands","376"
"1961-07","Hydrochloric (muriatic) acid, 100%","units ","1293"
"1961-07","Sulphuric acid, all grades, including oleum, as 100%","units ","112269"
"1961-07","Ammonia, anhydrous, 100%","units ","31118"
"1961-07","Ammonium sulphate","units ","18711"
"1961-07","Chlorine","units ","27637"
"1961-07","Fertilizers, mixed","units ","15576"
"1961-07","Formaldehyde, 100% solids basis","units ","2499"
