"Year","Commodity","Unit","Value"
"1960","Skim milk","Litres per person, per year","2.44"
"1960","Chocolate and other flavoured milk","Litres per person, per year","1.52"
"1960","Yogurt","Litres per person, per year","0.03"
"1960","Turkey, boneless weight","Kilograms per person, per year","1.44"
"1960","Eggs","Kilograms per person, per year","12.35"
"1960","Pork, boneless weight","Kilograms per person, per year","9.18"
"1960","Beef, boneless weight","Kilograms per person, per year","13.79"
"1960","Veal, boneless weight","Kilograms per person, per year","1.29"
"1960","Beef and veal total, boneless weight","Kilograms per person, per year","15.09"
"1960","Mutton and lamb, boneless weight","Kilograms per person, per year","0.52"
"1960","Offal, boneless weight","Kilograms per person, per year","1.22"
"1960","Butter","Kilograms per person, per year","5.80"
"1960","Margarine","Kilograms per person, per year","3.34"
"1960","Salad oils","Kilograms per person, per year","0.90"
"1960","Shortening and shortening oils","Kilograms per person, per year","2.84"
"1960","Apples fresh","Kilograms per person, per year","5.64"
"1960","Apples canned","Kilograms per person, per year","0.23"
"1960","Apples dried","Kilograms per person, per year","0.03"
"1960","Apples frozen","Kilograms per person, per year","0.05"
"1960","Apple juice","Litres per person, per year","1.74"
"1960","Apple pie filling","Kilograms per person, per year","0.19"
"1960","Apple sauce","Kilograms per person, per year","0.32"
"1960","Apricots fresh","Kilograms per person, per year","0.14"
"1960","Apricots canned","Kilograms per person, per year","0.21"
"1960","Bananas fresh","Kilograms per person, per year","4.38"
"1960","Blueberries fresh","Kilograms per person, per year","0.10"
"1960","Blueberries canned","Kilograms per person, per year","0.02"
"1960","Blueberries frozen","Kilograms per person, per year","0.01"
"1960","Cherries fresh","Kilograms per person, per year","0.16"
"1960","Cherries frozen","Kilograms per person, per year","0.19"
"1960","Coconut fresh","Kilograms per person, per year","0.25"
"1960","Cranberries fresh","Kilograms per person, per year","0.08"
"1960","Dates fresh","Kilograms per person, per year","2.74"
"1960","Figs fresh","Kilograms per person, per year","0.41"
"1960","Grapes fresh","Kilograms per person, per year","2.97"
"1960","Melons, musk and cantaloups fresh","Kilograms per person, per year","0.31"
"1960","Other fresh melons","Kilograms per person, per year","1.17"
"1960","Melons total fresh","Kilograms per person, per year","1.48"
"1960","Nectarines fresh","Kilograms per person, per year","0.02"
"1960","Peaches fresh","Kilograms per person, per year","1.09"
"1960","Peaches canned","Kilograms per person, per year","1.57"
"1960","Pears fresh","Kilograms per person, per year","0.85"
"1960","Pears canned","Kilograms per person, per year","0.64"
"1960","Pineapples fresh","Kilograms per person, per year","0.07"
"1960","Pineapples canned","Kilograms per person, per year","0.79"
"1960","Pineapple juice","Litres per person, per year","0.34"
"1960","Plums total fresh","Kilograms per person, per year","0.54"
"1960","Raspberries frozen","Kilograms per person, per year","0.20"
"1960","Strawberries fresh","Kilograms per person, per year","0.52"
"1960","Strawberries canned","Kilograms per person, per year","0.07"
"1960","Strawberries frozen","Kilograms per person, per year","0.34"
"1960","Fruits not specified fresh","Kilograms per person, per year","0.02"
"1960","Fruits not specified canned","Kilograms per person, per year",
"1960","Fruits not specified dried","Kilograms per person, per year","2.01"
"1960","Fruits not specified frozen","Kilograms per person, per year","0.07"
"1960","Oranges fresh","Kilograms per person, per year","5.18"
"1960","Orange juice","Litres per person, per year","3.75"
"1960","Lemons fresh","Kilograms per person, per year","0.29"
"1960","Lemon juice","Litres per person, per year","0.52"
"1960","Grapefruits fresh","Kilograms per person, per year","1.15"
"1960","Grapefruit juice","Litres per person, per year","0.51"
"1960","Asparagus fresh","Kilograms per person, per year","0.06"
"1960","Asparagus canned","Kilograms per person, per year","0.15"
"1960","Beans green and wax fresh","Kilograms per person, per year","0.23"
"1960","Beans green and wax canned","Kilograms per person, per year","1.25"
"1960","Beans green and wax frozen","Kilograms per person, per year","0.08"
"1960","Beets fresh","Kilograms per person, per year","0.38"
"1960","Beets canned","Kilograms per person, per year","0.25"
"1960","Brussels sprouts fresh","Kilograms per person, per year",
"1960","Cabbage fresh","Kilograms per person, per year","2.45"
"1960","Carrots fresh","Kilograms per person, per year","5.00"
"1960","Carrots canned","Kilograms per person, per year","0.20"
"1960","Cauliflower fresh","Kilograms per person, per year","0.26"
"1960","Celery fresh","Kilograms per person, per year","2.02"
"1960","Corn fresh","Kilograms per person, per year","0.31"
"1960","Corn canned","Kilograms per person, per year","1.89"
"1960","Corn frozen","Kilograms per person, per year","0.15"
"1960","Cucumbers fresh","Kilograms per person, per year","0.80"
"1960","Lettuce fresh","Kilograms per person, per year","2.98"
"1960","Mushrooms fresh","Kilograms per person, per year",
"1960","Mushrooms canned","Kilograms per person, per year","0.12"
"1960","Onions and shallots fresh","Kilograms per person, per year","2.61"
"1960","Parsnips fresh","Kilograms per person, per year","0.17"
"1960","Peas fresh","Kilograms per person, per year","0.04"
"1960","Peas canned","Kilograms per person, per year","2.34"
"1960","Peas frozen","Kilograms per person, per year","0.64"
"1960","Peppers fresh","Kilograms per person, per year","0.07"
"1960","Potatoes sweet fresh","Kilograms per person, per year","0.11"
"1960","Potatoes white fresh and processed","Kilograms per person, per year","35.13"
"1960","Radishes fresh","Kilograms per person, per year","0.13"
"1960","Rutabagas and turnips fresh","Kilograms per person, per year","1.35"
"1960","Spinach fresh","Kilograms per person, per year","0.20"
"1960","Tomatoes fresh","Kilograms per person, per year","4.12"
"1960","Tomatoes canned","Kilograms per person, per year","2.23"
"1960","Tomato juice","Litres per person, per year","3.78"
"1960","Tomatoes, pulp, paste and puree","Kilograms per person, per year","0.61"
"1960","Vegetables not specified fresh","Kilograms per person, per year","0.02"
"1960","Vegetables not specified canned","Kilograms per person, per year","0.88"
"1960","Vegetables not specified frozen","Kilograms per person, per year","0.34"
"1961","Wheat flour","Kilograms per person, per year","55.45"
"1961","Rye flour","Kilograms per person, per year","0.42"
"1961","Oatmeal and rolled oats","Kilograms per person, per year","2.21"
"1961","Pot and pearl barley","Kilograms per person, per year","0.08"
"1961","Corn flour and meal","Kilograms per person, per year","0.80"
"1961","Rice","Kilograms per person, per year","1.59"
"1961","Breakfast food","Kilograms per person, per year","3.11"
"1961","Sugar refined","Kilograms per person, per year","43.05"
"1961","Sugar refined, sugar content","Kilograms per person, per year","43.05"
"1961","Maple sugar","Kilograms per person, per year","0.31"
"1961","Maple sugar, sugar content","Kilograms per person, per year","0.27"
"1961","Honey","Kilograms per person, per year","0.78"
"1961","Honey, sugar content","Kilograms per person, per year","0.61"
"1961","Dry beans","Kilograms per person, per year","1.00"
"1961","Baked and canned beans","Kilograms per person, per year","2.88"
"1961","Dry peas","Kilograms per person, per year","0.65"
"1961","Peanuts","Kilograms per person, per year","1.87"
"1961","Tree nuts","Kilograms per person, per year","0.52"
"1961","Tea","Litres per person, per year","88.12"
"1961","Tea, leaf equivalent","Kilograms per person, per year","1.13"
"1961","Coffee, green bean equivalent","Kilograms per person, per year","3.93"
"1961","Cocoa, green bean equivalent","Kilograms per person, per year","1.43"
"1961","Ale, beer, stout and porter, total population","Litres per person, per year","60.17"
"1961","Ale, beer, stout and porter, population 15 years old and over","Litres per person, per year","91.26"
"1961","Distilled spirits, total population","Litres per person, per year","3.82"
"1961","Distilled spirits, population 15 years old and over","Litres per person, per year","5.80"
"1961","Wines, total population","Litres per person, per year","2.18"
"1961","Wines, population 15 years old and over","Litres per person, per year","3.30"
"1961","Cheddar cheese","Kilograms per person, per year","1.31"
"1961","Cheddar cheese, milk solids","Kilograms per person, per year","0.82"
"1961","Processed cheese","Kilograms per person, per year","1.43"
"1961","Processed cheese, milk solids","Kilograms per person, per year","0.87"
"1961","Variety cheese","Kilograms per person, per year","0.65"
"1961","Variety cheese, milk solids","Kilograms per person, per year","0.32"
"1961","Cottage cheese","Kilograms per person, per year","0.60"
"1961","Cottage cheese, milk solids","Kilograms per person, per year","0.13"
"1961","Powder skim milk","Kilograms per person, per year","3.81"
"1961","Powder skim milk, milk solids","Kilograms per person, per year","3.65"
"1961","Powder buttermilk","Kilograms per person, per year","0.23"
"1961","Powder buttermilk, milk solids","Kilograms per person, per year","0.23"
"1961","Powder whey","Kilograms per person, per year","0.18"
"1961","Powder whey, milk solids","Kilograms per person, per year","0.17"
"1961","Concentrated whole milk","Litres per person, per year","7.04"
"1961","Concentrated whole milk, milk solids","Kilograms per person, per year","1.95"
"1961","Sweetened concentrated whole milk","Litres per person, per year","0.34"
"1961","Sweetened concentrated whole milk, milk solids","Kilograms per person, per year","0.10"
"1961","Concentrated skim milk","Litres per person, per year","0.14"
"1961","Concentrated skim milk, milk solids","Kilograms per person, per year","0.03"
"1961","Sweetened concentrated skim milk","Litres per person, per year",
"1961","Sweetened concentrated skim milk, milk solids","Kilograms per person, per year",
"1961","Milkshake","Litres per person, per year",
